iter	Passed	Remaining
0	1	184
1	3	162
2	4	144
3	5	129
4	6	126
5	8	125
6	9	124
7	10	121
8	11	117
9	12	114
10	13	111
11	14	109
12	16	107
13	17	105
14	18	104
15	19	101
16	20	102
17	22	100
18	23	98
19	24	96
20	25	95
21	26	94
22	27	92
23	28	91
24	29	89
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	82
31	38	81
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	66
44	53	65
45	54	63
46	55	62
47	56	61
48	58	61
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	64	53
55	66	51
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	104	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	115	1
99	116	0
