iter	Passed	Remaining
0	122	122343
1	123	61602
2	124	41293
3	125	31169
4	126	25086
5	127	21059
6	127	18146
7	128	15946
8	129	14243
9	130	12873
10	130	11760
11	131	10836
12	132	10050
13	133	9385
14	134	8804
15	134	8290
16	135	7844
17	136	7444
18	137	7085
19	138	6764
20	140	6573
21	141	6311
22	142	6065
23	143	5843
24	144	5653
25	146	5472
26	147	5299
27	148	5137
28	148	4983
29	149	4835
30	150	4698
31	151	4570
32	151	4450
33	152	4339
34	153	4231
35	154	4130
36	155	4034
37	155	3944
38	156	3865
39	157	3791
40	159	3724
41	160	3653
42	160	3581
43	161	3516
44	162	3454
45	163	3393
46	164	3334
47	165	3278
48	166	3228
49	167	3181
50	168	3135
51	169	3091
52	170	3045
53	171	3001
54	172	2959
55	173	2918
56	173	2876
57	175	2846
58	176	2813
59	177	2780
60	178	2744
61	179	2711
62	180	2681
63	181	2649
64	181	2617
65	182	2587
66	184	2564
67	186	2549
68	187	2525
69	188	2498
70	188	2469
71	189	2441
72	190	2414
73	190	2388
74	191	2363
75	192	2346
76	194	2326
77	194	2304
78	195	2283
79	196	2262
80	197	2241
81	198	2221
82	198	2197
83	199	2178
84	200	2161
85	201	2145
86	202	2129
87	203	2111
88	204	2096
89	205	2078
90	206	2061
91	207	2044
92	207	2027
93	208	2011
94	209	1995
95	210	1981
96	212	1975
97	213	1961
98	213	1947
99	214	1933
100	215	1919
101	216	1906
102	217	1893
103	218	1880
104	219	1867
105	220	1855
106	220	1844
107	221	1833
108	223	1826
109	224	1816
110	225	1805
111	226	1794
112	227	1783
113	228	1772
114	228	1760
115	230	1756
116	231	1745
117	232	1737
118	233	1728
119	234	1718
120	235	1709
121	236	1698
122	236	1689
123	237	1680
124	238	1671
125	239	1661
126	240	1651
127	241	1643
128	242	1636
129	243	1628
130	244	1624
131	245	1617
132	246	1609
133	248	1604
134	250	1602
135	251	1595
136	251	1587
137	252	1579
138	253	1570
139	254	1561
140	255	1556
141	256	1548
142	257	1541
143	257	1533
144	258	1525
145	259	1517
146	260	1510
147	261	1502
148	261	1494
149	262	1488
150	263	1481
151	264	1474
152	265	1467
153	265	1459
154	267	1460
155	268	1454
156	269	1447
157	270	1441
158	271	1435
159	272	1429
160	272	1421
161	273	1416
162	274	1410
163	275	1404
164	276	1398
165	277	1392
166	277	1386
167	278	1380
168	279	1374
169	280	1369
170	281	1363
171	282	1357
172	282	1351
173	283	1346
174	284	1340
175	285	1338
176	286	1333
177	287	1328
178	288	1322
179	289	1316
180	289	1311
181	290	1306
182	291	1300
183	292	1295
184	292	1290
185	293	1285
186	294	1280
187	295	1275
188	295	1270
189	296	1265
190	297	1260
191	298	1255
192	299	1251
193	300	1246
194	300	1242
195	301	1237
196	302	1232
197	303	1228
198	304	1226
199	305	1223
200	306	1219
201	307	1215
202	308	1210
203	309	1206
204	309	1201
205	310	1196
206	311	1192
207	312	1188
208	312	1184
209	313	1179
210	314	1175
211	315	1171
212	315	1167
213	316	1163
214	317	1159
215	318	1155
216	319	1151
217	319	1147
218	320	1142
219	321	1139
220	321	1134
221	323	1133
222	324	1130
223	325	1126
224	326	1122
225	326	1119
226	327	1115
227	328	1111
228	329	1107
229	329	1104
230	330	1100
231	331	1097
232	332	1093
233	333	1090
234	333	1086
235	334	1082
236	335	1079
237	336	1076
238	336	1072
239	337	1069
240	338	1066
241	339	1062
242	340	1059
243	340	1055
244	342	1055
245	343	1052
246	344	1049
247	344	1045
248	345	1042
249	346	1039
250	347	1035
251	347	1032
252	348	1029
253	349	1026
254	350	1023
255	351	1020
256	351	1017
257	352	1014
258	353	1011
259	354	1008
260	355	1005
261	355	1002
262	356	999
263	357	996
264	358	993
265	359	990
266	359	987
267	361	986
268	362	983
269	362	981
270	363	978
271	364	975
272	365	973
273	366	970
274	367	968
275	368	965
276	369	963
277	369	960
278	370	957
279	371	954
280	372	952
281	372	949
282	373	946
283	374	943
284	374	940
285	375	938
286	376	935
287	377	932
288	377	929
289	379	929
290	380	927
291	381	925
292	382	922
293	383	920
294	384	918
295	385	915
296	385	913
297	386	910
298	387	908
299	388	905
300	388	902
301	389	900
302	390	897
303	390	895
304	391	892
305	392	889
306	393	887
